"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LABCOMP","TOT","AGRWTH","A","1986",5.163086,
"AUS","LABCOMP","TOT","AGRWTH","A","1987",5.913768,
"AUS","LABCOMP","TOT","AGRWTH","A","1988",7.262311,
"AUS","LABCOMP","TOT","AGRWTH","A","1989",5.975881,
"AUS","LABCOMP","TOT","AGRWTH","A","1990",6.786832,
"AUS","LABCOMP","TOT","AGRWTH","A","1991",3.586471,
"AUS","LABCOMP","TOT","AGRWTH","A","1992",3.418437,
"AUS","LABCOMP","TOT","AGRWTH","A","1993",0.22851,
"AUS","LABCOMP","TOT","AGRWTH","A","1994",1.571419,
"AUS","LABCOMP","TOT","AGRWTH","A","1995",5.638905,
"AUS","LABCOMP","TOT","AGRWTH","A","1996",6.317506,
"AUS","LABCOMP","TOT","AGRWTH","A","1997",2.936676,
"AUS","LABCOMP","TOT","AGRWTH","A","1998",3.603118,
"AUS","LABCOMP","TOT","AGRWTH","A","1999",1.888844,
"AUS","LABCOMP","TOT","AGRWTH","A","2000",5.489816,
"AUS","LABCOMP","TOT","AGRWTH","A","2001",5.170806,
"AUS","LABCOMP","TOT","AGRWTH","A","2002",3.633424,
"AUS","LABCOMP","TOT","AGRWTH","A","2003",4.339515,
"AUS","LABCOMP","TOT","AGRWTH","A","2004",3.418581,
"AUS","LABCOMP","TOT","AGRWTH","A","2005",4.108213,
"AUS","LABCOMP","TOT","AGRWTH","A","2006",5.25018,
"AUS","LABCOMP","TOT","AGRWTH","A","2007",6.134464,
"AUS","LABCOMP","TOT","AGRWTH","A","2008",5.41187,
"AUS","LABCOMP","TOT","AGRWTH","A","2009",0.712338,
"AUS","LABCOMP","TOT","AGRWTH","A","2010",7.812032,
"AUS","LABCOMP","TOT","AGRWTH","A","2011",2.785226,
"AUS","LABCOMP","TOT","AGRWTH","A","2012",3.054148,
"AUS","LABCOMP","TOT","AGRWTH","A","2013",2.920955,
"AUS","LABCOMP","TOT","AGRWTH","A","2014",1.182617,
"AUS","LABCOMP","TOT","AGRWTH","A","2015",2.696093,
"AUS","LABCOMP","TOT","AGRWTH","A","2016",-0.47995,
"AUS","LABCOMP","TOT","AGRWTH","A","2017",1.907442,
"AUS","LABCOMP","TOT","IDX2010","A","1985",33.650663,
"AUS","LABCOMP","TOT","IDX2010","A","1986",35.388076,
"AUS","LABCOMP","TOT","IDX2010","A","1987",37.480844,
"AUS","LABCOMP","TOT","IDX2010","A","1988",40.20282,
"AUS","LABCOMP","TOT","IDX2010","A","1989",42.605293,
"AUS","LABCOMP","TOT","IDX2010","A","1990",45.496843,
"AUS","LABCOMP","TOT","IDX2010","A","1991",47.128574,
"AUS","LABCOMP","TOT","IDX2010","A","1992",48.739635,
"AUS","LABCOMP","TOT","IDX2010","A","1993",48.851009,
"AUS","LABCOMP","TOT","IDX2010","A","1994",49.618663,
"AUS","LABCOMP","TOT","IDX2010","A","1995",52.416612,
"AUS","LABCOMP","TOT","IDX2010","A","1996",55.728035,
"AUS","LABCOMP","TOT","IDX2010","A","1997",57.364587,
"AUS","LABCOMP","TOT","IDX2010","A","1998",59.4315,
"AUS","LABCOMP","TOT","IDX2010","A","1999",60.554069,
"AUS","LABCOMP","TOT","IDX2010","A","2000",63.878376,
"AUS","LABCOMP","TOT","IDX2010","A","2001",67.181403,
"AUS","LABCOMP","TOT","IDX2010","A","2002",69.622388,
