"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDPHRWKD","TOT","USD","A","1970",26.768788,
"AUS","GDPHRWKD","TOT","USD","A","1971",27.437885,
"AUS","GDPHRWKD","TOT","USD","A","1972",28.04169,
"AUS","GDPHRWKD","TOT","USD","A","1973",28.619452,
"AUS","GDPHRWKD","TOT","USD","A","1974",28.163889,
"AUS","GDPHRWKD","TOT","USD","A","1975",29.206249,
"AUS","GDPHRWKD","TOT","USD","A","1976",29.693813,
"AUS","GDPHRWKD","TOT","USD","A","1977",29.660276,
"AUS","GDPHRWKD","TOT","USD","A","1978",30.91166,
"AUS","GDPHRWKD","TOT","USD","A","1979",31.061676,
"AUS","GDPHRWKD","TOT","USD","A","1980",31.394732,
"AUS","GDPHRWKD","TOT","USD","A","1981",32.322433,
"AUS","GDPHRWKD","TOT","USD","A","1982",32.726656,
"AUS","GDPHRWKD","TOT","USD","A","1983",33.546298,
"AUS","GDPHRWKD","TOT","USD","A","1984",34.280067,
"AUS","GDPHRWKD","TOT","USD","A","1985",34.217404,
"AUS","GDPHRWKD","TOT","USD","A","1986",34.236939,
"AUS","GDPHRWKD","TOT","USD","A","1987",34.965329,
"AUS","GDPHRWKD","TOT","USD","A","1988",34.85853,
"AUS","GDPHRWKD","TOT","USD","A","1989",34.972347,
"AUS","GDPHRWKD","TOT","USD","A","1990",34.34193,
"AUS","GDPHRWKD","TOT","USD","A","1991",35.125984,
"AUS","GDPHRWKD","TOT","USD","A","1992",36.200617,
"AUS","GDPHRWKD","TOT","USD","A","1993",36.279143,
"AUS","GDPHRWKD","TOT","USD","A","1994",36.342225,
"AUS","GDPHRWKD","TOT","USD","A","1995",37.440396,
"AUS","GDPHRWKD","TOT","USD","A","1996",38.757935,
"AUS","GDPHRWKD","TOT","USD","A","1997",40.056534,
"AUS","GDPHRWKD","TOT","USD","A","1998",41.370703,
"AUS","GDPHRWKD","TOT","USD","A","1999",41.736072,
"AUS","GDPHRWKD","TOT","USD","A","2000",42.1635,
"AUS","GDPHRWKD","TOT","USD","A","2001",43.634405,
"AUS","GDPHRWKD","TOT","USD","A","2002",44.241677,
"AUS","GDPHRWKD","TOT","USD","A","2003",45.194449,
"AUS","GDPHRWKD","TOT","USD","A","2004",45.064873,
"AUS","GDPHRWKD","TOT","USD","A","2005",45.250089,
"AUS","GDPHRWKD","TOT","USD","A","2006",45.512053,
"AUS","GDPHRWKD","TOT","USD","A","2007",46.062347,
"AUS","GDPHRWKD","TOT","USD","A","2008",47.681624,
"AUS","GDPHRWKD","TOT","USD","A","2009",47.22066,
"AUS","GDPHRWKD","TOT","USD","A","2010",47.999074,
"AUS","GDPHRWKD","TOT","USD","A","2011",48.555786,
"AUS","GDPHRWKD","TOT","USD","A","2012",49.733631,
"AUS","GDPHRWKD","TOT","USD","A","2013",50.582777,
"AUS","GDPHRWKD","TOT","USD","A","2014",50.887764,
"AUS","GDPHRWKD","TOT","USD","A","2015",52.218188,
"AUS","GDPHRWKD","TOT","USD","A","2016",52.100067,
"AUS","GDPHRWKD","TOT","USD","A","2017",52.669992,
"AUS","GDPHRWKD","TOT","USD","A","2018",52.998992,"E"
"AUT","GDPHRWKD","TOT","USD","A","1995",43.77377,
"AUT","GDPHRWKD","TOT","USD","A","1996",43.809698,
"AUT","GDPHRWKD","TOT","USD","A","1997",44.192918,
"AUT","GDPHRWKD","TOT","USD","A","1998",45.857243,
"AUT","GDPHRWKD","TOT","USD","A","1999",46.694851,
"AUT","GDPHRWKD","TOT","USD","A","2000",47.789545,
"AUT","GDPHRWKD","TOT","USD","A","2001",48.394711,
"AUT","GDPHRWKD","TOT","USD","A","2002",49.329775,
"AUT","GDPHRWKD","TOT","USD","A","2003",49.710156,
"AUT","GDPHRWKD","TOT","USD","A","2004",50.691157,
"AUT","GDPHRWKD","TOT","USD","A","2005",51.899869,
"AUT","GDPHRWKD","TOT","USD","A","2006",53.288853,
"AUT","GDPHRWKD","TOT","USD","A","2007",54.620099,
"AUT","GDPHRWKD","TOT","USD","A","2008",54.619558,
"AUT","GDPHRWKD","TOT","USD","A","2009",54.228148,
"AUT","GDPHRWKD","TOT","USD","A","2010",55.056964,
"AUT","GDPHRWKD","TOT","USD","A","2011",55.619717,
"AUT","GDPHRWKD","TOT","USD","A","2012",56.214525,
"AUT","GDPHRWKD","TOT","USD","A","2013",56.585338,
"AUT","GDPHRWKD","TOT","USD","A","2014",56.757905,
"AUT","GDPHRWKD","TOT","USD","A","2015",57.671852,
"AUT","GDPHRWKD","TOT","USD","A","2016",57.635196,
"AUT","GDPHRWKD","TOT","USD","A","2017",58.159253,
"AUT","GDPHRWKD","TOT","USD","A","2018",58.750074,
"BEL","GDPHRWKD","TOT","USD","A","1970",24.992602,
"BEL","GDPHRWKD","TOT","USD","A","1971",25.890412,
"BEL","GDPHRWKD","TOT","USD","A","1972",27.693088,
"BEL","GDPHRWKD","TOT","USD","A","1973",29.568551,
"BEL","GDPHRWKD","TOT","USD","A","1974",30.834273,
"BEL","GDPHRWKD","TOT","USD","A","1975",31.031178,
"BEL","GDPHRWKD","TOT","USD","A","1976",32.909764,
"BEL","GDPHRWKD","TOT","USD","A","1977",33.734739,
"BEL","GDPHRWKD","TOT","USD","A","1978",34.999186,
"BEL","GDPHRWKD","TOT","USD","A","1979",35.83151,
"BEL","GDPHRWKD","TOT","USD","A","1980",37.926748,
"BEL","GDPHRWKD","TOT","USD","A","1981",39.059991,
"BEL","GDPHRWKD","TOT","USD","A","1982",40.152071,
"BEL","GDPHRWKD","TOT","USD","A","1983",40.667746,
"BEL","GDPHRWKD","TOT","USD","A","1984",41.091798,
"BEL","GDPHRWKD","TOT","USD","A","1985",41.42787,
"BEL","GDPHRWKD","TOT","USD","A","1986",42.416081,
"BEL","GDPHRWKD","TOT","USD","A","1987",43.463617,
"BEL","GDPHRWKD","TOT","USD","A","1988",44.978084,
"BEL","GDPHRWKD","TOT","USD","A","1989",46.079855,
"BEL","GDPHRWKD","TOT","USD","A","1990",46.621525,
"BEL","GDPHRWKD","TOT","USD","A","1991",48.396186,
"BEL","GDPHRWKD","TOT","USD","A","1992",49.908938,
"BEL","GDPHRWKD","TOT","USD","A","1993",51.160361,
"BEL","GDPHRWKD","TOT","USD","A","1994",53.032954,
"BEL","GDPHRWKD","TOT","USD","A","1995",52.562931,
"BEL","GDPHRWKD","TOT","USD","A","1996",54.151219,
"BEL","GDPHRWKD","TOT","USD","A","1997",55.317912,
"BEL","GDPHRWKD","TOT","USD","A","1998",55.051633,
"BEL","GDPHRWKD","TOT","USD","A","1999",56.261079,
"BEL","GDPHRWKD","TOT","USD","A","2000",56.711659,
"BEL","GDPHRWKD","TOT","USD","A","2001",56.629055,
"BEL","GDPHRWKD","TOT","USD","A","2002",57.953347,
"BEL","GDPHRWKD","TOT","USD","A","2003",58.632351,
"BEL","GDPHRWKD","TOT","USD","A","2004",60.357315,
"BEL","GDPHRWKD","TOT","USD","A","2005",61.03746,
"BEL","GDPHRWKD","TOT","USD","A","2006",61.605343,
"BEL","GDPHRWKD","TOT","USD","A","2007",62.520201,
"BEL","GDPHRWKD","TOT","USD","A","2008",62.15517,
"BEL","GDPHRWKD","TOT","USD","A","2009",61.715291,
"BEL","GDPHRWKD","TOT","USD","A","2010",63.097415,
"BEL","GDPHRWKD","TOT","USD","A","2011",62.804247,
"BEL","GDPHRWKD","TOT","USD","A","2012",62.668138,
"BEL","GDPHRWKD","TOT","USD","A","2013",63.076682,
"BEL","GDPHRWKD","TOT","USD","A","2014",63.70542,
"BEL","GDPHRWKD","TOT","USD","A","2015",64.578431,
"BEL","GDPHRWKD","TOT","USD","A","2016",64.700414,
"BEL","GDPHRWKD","TOT","USD","A","2017",64.833686,
"BEL","GDPHRWKD","TOT","USD","A","2018",64.744489,
"CAN","GDPHRWKD","TOT","USD","A","1970",27.229664,
"CAN","GDPHRWKD","TOT","USD","A","1971",27.899656,
"CAN","GDPHRWKD","TOT","USD","A","1972",28.865851,
